Dimension: 53
7 25 230
42 95 260
17 145 665
3 345 750
21 300 465
41 475 960
31 420 555
18 415 635
22 520 585
45 555 815
1 565 575
32 575 665
49 605 625
19 510 875
8 525 1000
9 580 1175
36 685 610
39 720 635
35 685 595
40 760 650
34 700 580
10 650 1130
37 770 610
33 1150 1160
43 875 920
38 795 645
15 845 680
5 845 655
6 880 660
24 835 625
48 830 610
26 1215 245
4 945 685
25 975 580
28 1250 400
12 1220 580
27 1320 315
51 1340 725
52 1740 245
11 1605 620
13 1465 200
14 1530 5
46 830 485
16 725 370
44 700 500
50 595 360
20 560 365
23 480 415
29 660 180
47 1170 65
30 410 250
2 25 185
7 25 230
