"word_freq_make","word_freq_address","word_freq_all","word_freq_3d","word_freq_our","word_freq_over","word_freq_remove","word_freq_internet","word_freq_order","word_freq_mail","word_freq_receive","word_freq_will","word_freq_people","word_freq_report","word_freq_addresses","word_freq_free","word_freq_business","word_freq_email","word_freq_you","word_freq_credit","word_freq_your","word_freq_font","word_freq_000","word_freq_money","word_freq_hp","word_freq_hpl","word_freq_george","word_freq_650","word_freq_lab","word_freq_labs","word_freq_telnet","word_freq_857","word_freq_data","word_freq_415","word_freq_85","word_freq_technology","word_freq_1999","word_freq_parts","word_freq_pm","word_freq_direct","word_freq_cs","word_freq_meeting","word_freq_original","word_freq_project","word_freq_re","word_freq_edu","word_freq_table","word_freq_conference","char_freq_;","char_freq_(","char_freq_[","char_freq_!","char_freq_$","char_freq_#","capital_run_length_average","capital_run_length_longest","capital_run_length_total","Class"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172817281728173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442396313364055,0,0,0,0,0,0,0.26890756302521,0,0,0,0,0,0,0,0,0,0.0468046804680468,0,0,0.0018018018018018,0.00675675675675676,0.00797182054134223,-1
0,0,0.837535014005602,0.00982915984086122,0.042,0,0.116918844566713,0,0,0,0.21,0.0667726550079491,0,0,0,0.0571428571428571,0,0.25296442687747,0.306930693069307,0,0.2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047763989697963,0,0.147434743474347,0,0,0.00576576576576577,0.0307807807807808,0.0671116054875788,1
0,0,0.221288515406162,0,0.026,0,0.0357634112792297,0.0833333333333333,0,0,0,0.208267090620032,0,0,0,0,0,0.0513833992094862,0.142214221422142,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119815668202765,0.0377358490566038,0,0,0.0599078341013825,0,0,0,0,0,0,0,0.242990654205607,0.00956696878147029,0.00889721376726762,0,0.0138613861386139,0,0,0.0012012012012012,0.021021021021021,0.0315164998146088,1
0.0625,0,0,0,0.025,0.15527950310559,0,0,0,0,0,0.0810810810810811,0,0.045045045045045,0,0,0,0.0494071146245059,0.0459045904590459,0,0.03125,0,0,0,0,0.0325097529258778,0,0,0,0,0,0,0.0341997264021888,0,0,0,0,0,0,0,0.0350140056022409,0,0,0,0,0.0350140056022409,0,0.233644859813084,0,0.0191992507609459,0,0,0,0.0252307692307692,0.000430930930930931,0.00225225225225225,0.0155728587319244,-1
0,0,0,0,0.043,0,0,0,0,0,0,0.068362480127186,0,0,0,0,0,0,0.197119711971197,0,0,0,0,0,0,0,0.0172,0,0,0,0,0,0.119015047879617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019889224572004,0.0369936782954812,0,0,0,0,0.000172672672672673,0.000750750750750751,0.00519095291064145,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240572171651495,0.481144343302991,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394736842105263,0,0,0.396923076923077,0.00283483483483483,0.00525525525525526,0.0046347793845013,-1
0.01,0.00560224089635854,0.0672268907563025,0,0.004,0.0993788819875776,0,0.0128205128205128,0.0680851063829787,0.127139364303178,0.04,0.165341812400636,0,0,0,0.0326530612244898,0.0078125,0,0.0612061206120612,0,0.11,0,0.0170212765957447,0,0.11443433029909,0.0780234070221066,0,0.0368663594470046,0,0,0.0368663594470046,0,0,0,0.0829493087557604,0,0.034833091436865,0.0256410256410256,0,0,0,0.00280112044817927,0,0,0.002,0,0,0,0.00730110775427996,0.0332474830250527,0,0.0127812781278128,0.021482602118003,0.00676923076923077,0.00147597597597598,0.0165165165165165,0.252131998516871,-1
1,0,0.280112044817927,0,0.1,0,0,0,0,0,0,0.158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039335050339499,0,0.0302430243024302,0,0,0.000689189189189189,0.00675675675675676,0.00982573229514275,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855085508550855,0,0,0,0,0,0.0617685305591677,0,0,0,0,0,0,0,0.129958960328317,0,0,0,0,0,0,0,0,0,0,0.114045618247299,0,0,0,0,0.0662134944612286,0.0922500585343011,0,0,0,0,0.00171471471471471,0.003003003003003,0.00815721171672228,-1
0,0,0,0,0,0.695652173913043,0,0.717948717948718,0,0,0.56,0.178060413354531,0,0,0,0,0,0,0.404140414041404,0,0,0,0.476595744680851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146534653465347,0,0,0.0024024024024024,0.0105105105105105,0.00704486466444197,1
