"word_freq_make","word_freq_address","word_freq_all","word_freq_3d","word_freq_our","word_freq_over","word_freq_remove","word_freq_internet","word_freq_order","word_freq_mail","word_freq_receive","word_freq_will","word_freq_people","word_freq_report","word_freq_addresses","word_freq_free","word_freq_business","word_freq_email","word_freq_you","word_freq_credit","word_freq_your","word_freq_font","word_freq_000","word_freq_money","word_freq_hp","word_freq_hpl","word_freq_george","word_freq_650","word_freq_lab","word_freq_labs","word_freq_telnet","word_freq_857","word_freq_data","word_freq_415","word_freq_85","word_freq_technology","word_freq_1999","word_freq_parts","word_freq_pm","word_freq_direct","word_freq_cs","word_freq_meeting","word_freq_original","word_freq_project","word_freq_re","word_freq_edu","word_freq_table","word_freq_conference","char_freq_;","char_freq_(","char_freq_[","char_freq_!","char_freq_$","char_freq_#","capital_run_length_average","capital_run_length_longest","capital_run_length_total","Class"
0,0,0.156862745098039,0,0,0,0,0,0,0.273838630806846,0,0,0,0,0,0,0,0,0.152115211521152,0,0.07,0.168665667166417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115429641770077,0.120563035495716,0.0709270927092709,0,0.242461538461538,0.00380930930930931,0.0157657657657658,0.0437523173896922,1
0,0.0294117647058824,0,0,0.042,0.260869565217391,0,0,0,0,0,0,0,0,0,0.0571428571428571,0,0.08300395256917,0.378037803780378,0,0,0,0.178723404255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0.0187309763521424,0,0.115931593159316,0.048714069591528,0,0.00228528528528529,0.00975975975975976,0.0203930292918057,1
0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0.0849802371541502,0.197119711971197,0,0.10875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522208883553421,0.0435,0.0602240896358543,0,0,0,0.0184968391477406,0,0,0,0,0.000438438438438438,0.003003003003003,0.0096403411197627,-1
0.02,0.00560224089635854,0.212885154061625,0,0.085,0.633540372670807,0.0343878954607978,0.0544871794871795,0.251063829787234,0.019559902200489,0.085,0.0937996820349761,0.0306306306306306,0,0.956709956709957,0.0340136054421769,0.015625,0.183794466403162,0.144914491449145,0.0272,0.0525,0,0.361702127659574,0.018140589569161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184331797235023,0,0,0.0476190476190476,0.00480192076830732,0.004,0.0112044817927171,0,0,0,0.0147506438773121,0,0.0709270927092709,0.0344931921331316,0.00738461538461538,0.00973573573573574,0.501501501501502,0.260659992584353,1
0.085,0.0182072829131653,0.0728291316526611,0,0.008,0.267080745341615,0.0110041265474553,0.0833333333333333,0.0340425531914894,0.359413202933985,0.17,0.082670906200318,0.171171171171171,0,0.0735930735930736,0.0108843537414966,0,0,0.272727272727273,0,0.0975,0,0.14468085106383,0.0770975056689342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0.0112385858112854,0,0.0466246624662466,0.0783661119515885,0.0393846153846154,0.00350600600600601,0.0457957957957958,0.0993696700037078,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000556173526140156,-1
0.015,0,0.198879551820728,0,0.123,0.118012422360248,0.0261348005502063,0.0384615384615385,0.272340425531915,0.0611246943765281,0.19,0.0715421303656598,0.0216216216216216,0,0.757575757575758,0.00816326530612245,0.01171875,0.203557312252964,0.122412241224122,0.0512,0.06375,0,0.493617021276596,0.0136054421768707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138248847926267,0,0,0.0336134453781513,0,0.003,0.00840336134453781,0,0,0.00251762336354481,0.0334816202294545,0,0.0496849684968497,0.0556732223903177,0.00615384615384615,0.0132447447447447,0.363363363363363,0.418613274008157,1
0.0425,0.0182072829131653,0.338935574229692,0,0.043,0.372670807453416,0.0591471801925722,0.0833333333333333,0.293617021276596,0.127139364303178,0.13,0.206677265500795,0.0306306306306306,0,0.25974025974026,0.0938775510204082,0.015625,0.290513833992095,0.218721872187219,0.0272,0.13,0,0.404255319148936,0.0385487528344671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184331797235023,0,0,0,0,0.004,0,0,0,0,0.0250526808709904,0,0.0460846084608461,0.0732223903177004,0.008,0.00772072072072072,0.436936936936937,0.248053392658509,1
0.0425,0,0.19047619047619,0,0.034,0.211180124223602,0,0,0,0,0,0,0,0,0,0,0,0.0671936758893281,0.432043204320432,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255,0.0238095238095238,0,0,0,0.00749239054085694,0,0.0117011701170117,0,0,0.000283783783783784,0.003003003003003,0.0126065999258435,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870870870870871,0.012012012012012,0.00611790878754171,-1
0,0,0,0,0,0,0,0,0,0,0,0.346581875993641,0,0,0,0,0,0,0.130513051305131,0,0,0,0,0,0.141742522756827,0,0,0.165898617511521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870348139255702,0,0,0,0,0,0.0285647389370171,0,0,0,0,0.00117867867867868,0.0127627627627628,0.0137189469781238,-1
